assignment_id,term_semester,term_year,course_id,course_section,instructor_id
1,Spring,2021,ds_tech_bootcamp,1,1
2,Spring,2021,stat6021,1,2
3,Spring,2021,ds5100,1,3
4,Spring,2021,cs5012,1,24
5,Spring,2021,ds6030,1,25
6,Spring,2021,ds5110,1,7
7,Spring,2021,ds5001,1,8
8,Spring,2021,ds6001,1,22
9,Spring,2021,ds6011,1,22
10,Spring,2021,ds6040,1,5
11,Spring,2021,ds6002,1,26
12,Spring,2021,ds6050,1,21
13,Spring,2021,ds6013,1,19
14,Spring,2021,ds6003,1,27
15,Spring,2021,ds6012,1,26
16,Spring,2021,sarc5400,1,28
17,Summer,2021,ds_tech_bootcamp,1,1
18,Summer,2021,stat6021,1,2
19,Summer,2021,ds5100,1,23
20,Summer,2021,cs5012,1,4
21,Summer,2021,ds6030,1,11
22,Summer,2021,ds5110,1,7
23,Summer,2021,ds5001,1,8
24,Summer,2021,ds6001,1,19
25,Summer,2021,ds6011,1,19
26,Summer,2021,ds6011,2,20
27,Summer,2021,ds6040,1,20
28,Summer,2021,ds6002,1,17
29,Summer,2021,ds6050,1,21
30,Summer,2021,ds6013,1,22
31,Summer,2021,ds6012,1,17
32,Summer,2021,ds6003,1,27
33,Fall,2021,ds_tech_bootcamp,1,1
34,Fall,2021,stat6021,1,2
35,Fall,2021,ds5100,1,3
36,Fall,2021,cs5012,1,4
37,Fall,2021,ds6030,1,5
38,Fall,2021,ds_biz_analytics,1,6
39,Fall,2021,ds5110,1,7
40,Fall,2021,ds5001,1,8
41,Fall,2021,ds6001,1,9
42,Fall,2021,ds6011,1,4
43,Fall,2021,ds6011,2,11
44,Fall,2021,ds6011,3,9
45,Fall,2021,ds6011,4,13
46,Fall,2021,ds6011,5,14
47,Fall,2021,ds6011,6,15
48,Fall,2021,ds6040,1,5
49,Fall,2021,ds6002,1,17
50,Fall,2021,ds6050,1,18
51,Fall,2021,ds6013,1,19
52,Fall,2021,ds6013,2,20
